name,birth_date,pesel,phone_number,city,address,email
Hubert Nowakowski,2006-06-09,06260905095,48651466989,Warszawa,ul. Żwirki i Wigury 58,hubert.nowakowski@gmail.com
Marek Sikora,1993-07-04,93070456954,48553987052,Warszawa,Al. Wilanowska 68,marek.sikora@gmail.com
Mariusz Kwiatkowski,1998-12-14,98121469754,48800085604,Poznań,Al. Stanów Zjednoczonych 15,mariusz.kwiatkowski@gmail.com
Ireneusz Kowalczyk,2006-01-20,06212049237,48785709545,Gdańsk,Al. KEN 32,ireneusz.kowalczyk@gmail.com
Natalia Walczak,2003-03-08,03230890447,48524645714,Gdańsk,Al. Wilanowska 90,natalia.walczak@gmail.com
Kajetan Olszewski,1946-09-08,46090838918,48580202763,Warszawa,ul. Mokotowska 9,kajetan.olszewski@gmail.com
Bogdan Grabowski,1965-03-09,65030939256,48762511320,Poznań,Al. Wojska Polskiego 88,bogdan.grabowski@gmail.com
Błażej Adamczyk,1977-10-21,77102119415,48649835109,Poznań,Al. KEN 78,błażej.adamczyk@gmail.com
Lidia Nowak,1976-09-25,76092552608,48645705152,Poznań,Al. Armii Ludowej 42,lidia.nowak@gmail.com
Leon Wojciechowski,1964-06-15,64061514894,48793977010,Kraków,Al. Wilanowska 14,leon.wojciechowski@gmail.com
Cyprian Malinowski,1951-10-15,51101589217,48532392239,Kraków,ul. Krakowskie Przedmieście 81,cyprian.malinowski@gmail.com
Jerzy Jankowski,1966-02-07,66020788535,48707394962,Kraków,Al. Rzeczypospolitej 67,jerzy.jankowski@gmail.com
Leon Woźniak,1972-03-02,72030200370,48554242561,Gdańsk,Al. Wilanowska 69,leon.woźniak@gmail.com
Janusz Kozłowski,1974-02-28,74022876493,48559707501,Warszawa,ul. Nowy Świat 73,janusz.kozłowski@gmail.com
Agnieszka Nowicka,1981-05-31,81053127063,48624554213,Łódź,ul. Chmielna 58,agnieszka.nowicka@gmail.com
Natalia Wróbel,1964-07-31,64073130842,48768723453,Gdańsk,ul. Piotrkowska 77,natalia.wróbel@gmail.com
Jarosław Woźniak,2005-03-12,05231218077,48687565798,Łódź,ul. Grójecka 63,jarosław.woźniak@gmail.com
Gabriela Grabowska,1942-03-09,42030952621,48662493718,Warszawa,ul. Świętokrzyska 1,gabriela.grabowska@gmail.com
Ireneusz Malinowski,2006-10-03,06300311877,48595726563,Łódź,ul. Długa 63,ireneusz.malinowski@gmail.com
Aneta Jabłońska,1965-08-03,65080306127,48567760517,Poznań,Al. Wilanowska 52,aneta.jabłońska@gmail.com
Grzegorz Kaczmarek,1971-04-08,71040823214,48633611726,Łódź,Al. Wojska Polskiego 17,grzegorz.kaczmarek@gmail.com
Lech Rutkowski,2001-01-12,01211244416,48523809276,Gdańsk,Al. Jerozolimskie 56,lech.rutkowski@gmail.com
Leon Lewandowski,1991-05-03,91050306291,48770809650,Poznań,ul. Krakowskie Przedmieście 83,leon.lewandowski@gmail.com
Czesława Zielińska,1958-04-23,58042340006,48699767738,Kraków,ul. Wspólna 62,czesława.zielińska@gmail.com
Natalia Baran,1993-07-02,93070216842,48734920176,Kraków,Al. Niepodległości 7,natalia.baran@gmail.com
Antoni Zając,1983-03-09,83030987291,48742976543,Kraków,Al. Krakowska 44,antoni.zając@gmail.com
Jacek Sikora,1947-08-15,47081555779,48792406828,Poznań,ul. Grójecka 70,jacek.sikora@gmail.com
Monika Walczak,1941-07-28,41072876803,48769757942,Kraków,Al. Zieleniecka 43,monika.walczak@gmail.com
Damian Kowalski,1995-06-08,95060808174,48510064267,Gdańsk,ul. Jana Pawła II 83,damian.kowalski@gmail.com
Katarzyna Szymańska,1992-02-26,92022668980,48528470972,Gdańsk,ul. Grójecka 38,katarzyna.szymańska@gmail.com
Dariusz Nowakowski,1947-03-14,47031412338,48723173031,Gdańsk,ul. Jana Pawła II 26,dariusz.nowakowski@gmail.com
Katarzyna Olszewska,1940-12-17,40121702667,48705323185,Łódź,Al. Wilanowska 50,katarzyna.olszewska@gmail.com
Izabela Adamczyk,1944-08-12,44081255722,48516615769,Łódź,Al. Jana III Sobieskiego 39,izabela.adamczyk@gmail.com
Maria Wróblewska,1958-05-12,58051263208,48663154974,Kraków,ul. Grójecka 22,maria.wróblewska@gmail.com
Jerzy Piotrowski,1947-04-11,47041101273,48796133212,Warszawa,Al. Stanów Zjednoczonych 89,jerzy.piotrowski@gmail.com
Kazimiera Ostrowska,1981-01-02,81010292225,48627549584,Poznań,ul. Puławska 95,kazimiera.ostrowska@gmail.com
Adam Mazur,1956-01-28,56012872012,48727976299,Warszawa,Al. Niepodległości 55,adam.mazur@gmail.com
Mariusz Szymański,1990-06-15,90061540034,48540501808,Gdańsk,Al. Wojska Polskiego 89,mariusz.szymański@gmail.com
Dagmara Wróbel,1975-12-14,75121469588,48640755247,Łódź,Al. Wojska Polskiego 81,dagmara.wróbel@gmail.com
Izabela Jabłońska,1948-03-28,48032812325,48819194861,Łódź,ul. Chmielna 83,izabela.jabłońska@gmail.com
Agnieszka Górska,1977-08-20,77082073460,48704578531,Poznań,ul. Świętokrzyska 56,agnieszka.górska@gmail.com
Lucyna Olszewska,1962-09-22,62092265880,48744071102,Poznań,ul. Grójecka 95,lucyna.olszewska@gmail.com
Dawid Kwiatkowski,1994-04-22,94042260751,48616933787,Kraków,Al. Solidarności 20,dawid.kwiatkowski@gmail.com
Kazimierz Wróblewski,2003-06-12,03261290157,48650691860,Gdańsk,Al. Zieleniecka 70,kazimierz.wróblewski@gmail.com
Maria Stępień,1976-02-09,76020989225,48782055123,Poznań,Al. Rzeczypospolitej 3,maria.stępień@gmail.com
Błażej Szymański,1965-09-17,65091783553,48796073456,Łódź,Al. Jana III Sobieskiego 43,błażej.szymański@gmail.com
Marek Wróbel,1992-04-29,92042936951,48578618479,Kraków,Al. Wojska Polskiego 40,marek.wróbel@gmail.com
Emil Krawczyk,1950-06-25,50062504893,48662739372,Łódź,Al. Waszyngtona 32,emil.krawczyk@gmail.com
Elżbieta Ostrowska,1945-01-11,45011195826,48561334669,Kraków,ul. Puławska 97,elżbieta.ostrowska@gmail.com
Grażyna Wojciechowska,1956-04-25,56042556982,48764304046,Kraków,ul. Wspólna 43,grażyna.wojciechowska@gmail.com
Jakub Król,2000-02-06,00220671439,48621465122,Poznań,Al. KEN 89,jakub.król@gmail.com
Lech Jaworski,1988-05-12,88051224877,48668173811,Kraków,ul. Piotrkowska 84,lech.jaworski@gmail.com
Jadwiga Szymańska,1967-06-04,67060472789,48659107233,Kraków,ul. Nowy Świat 91,jadwiga.szymańska@gmail.com
Helena Woźniak,1951-08-05,51080527909,48729416194,Łódź,Al. Wojska Polskiego 53,helena.woźniak@gmail.com
Lucyna Woźniak,1947-10-22,47102221564,48535846453,Kraków,ul. Puławska 73,lucyna.woźniak@gmail.com
Ewa Zając,1979-03-15,79031549721,48590071606,Łódź,ul. Chmielna 48,ewa.zając@gmail.com
Jakub Zalewski,2006-01-01,06210141191,48553631422,Kraków,Al. Prymasa Tysiąclecia 93,jakub.zalewski@gmail.com
Jacek Woźniak,1959-04-14,59041445938,48573652038,Warszawa,Al. Wilanowska 72,jacek.woźniak@gmail.com
Aleksander Majewski,1983-11-25,83112579796,48512211654,Gdańsk,Al. Armii Ludowej 10,aleksander.majewski@gmail.com
Marek Nowicki,1964-01-22,64012247196,48690098209,Gdańsk,Al. Niepodległości 42,marek.nowicki@gmail.com
Aleksander Jabłoński,1968-07-22,68072201710,48619677390,Kraków,Al. Jerozolimskie 16,aleksander.jabłoński@gmail.com
Marian Krawczyk,1982-04-10,82041075630,48677254992,Poznań,ul. Wspólna 5,marian.krawczyk@gmail.com
Halina Wróblewska,1957-05-10,57051045883,48619555989,Warszawa,Al. Zieleniecka 18,halina.wróblewska@gmail.com
Łukasz Lewandowski,1982-08-24,82082405210,48618747706,Warszawa,Al. Niepodległości 91,łukasz.lewandowski@gmail.com
Eryk Ostrowski,1943-03-22,43032292735,48579947202,Gdańsk,ul. Piotrkowska 78,eryk.ostrowski@gmail.com
Beata Kowalczyk,1989-10-29,89102982869,48732054518,Poznań,ul. Świętokrzyska 73,beata.kowalczyk@gmail.com
Jolanta Kowalska,1955-11-23,55112348744,48564064633,Łódź,ul. Mokotowska 97,jolanta.kowalska@gmail.com
Damian Jankowski,1943-02-01,43020133794,48705747607,Warszawa,Al. KEN 65,damian.jankowski@gmail.com
Izabela Kowalczyk,1948-02-22,48022264329,48681249644,Poznań,ul. Nowy Świat 25,izabela.kowalczyk@gmail.com
Celina Dąbrowska,1948-01-24,48012442164,48530256920,Poznań,ul. Targowa 34,celina.dąbrowska@gmail.com
Krystyna Tomaszewska,2004-02-01,04220138369,48701080218,Kraków,ul. Wspólna 68,krystyna.tomaszewska@gmail.com
Karol Sikora,1971-10-09,71100981117,48655459174,Poznań,Al. Wilanowska 52,karol.sikora@gmail.com
Maria Nowakowska,1991-01-14,91011445744,48676372636,Łódź,Al. Wilanowska 67,maria.nowakowska@gmail.com
Gabriel Dudek,1959-06-23,59062359533,48769369770,Gdańsk,Al. Jana III Sobieskiego 90,gabriel.dudek@gmail.com
Karolina Baran,1951-02-24,51022438083,48526053496,Warszawa,Al. Waszyngtona 51,karolina.baran@gmail.com
Ignacy Król,1955-02-09,55020975858,48617010487,Gdańsk,ul. Puławska 86,ignacy.król@gmail.com
Amelia Krawczyk,1997-03-03,97030320826,48624813370,Poznań,ul. Wspólna 32,amelia.krawczyk@gmail.com
Kajetan Michalski,1958-07-13,58071336591,48681296126,Gdańsk,Al. Wojska Polskiego 89,kajetan.michalski@gmail.com
Adam Wieczorek,1956-07-02,56070238715,48637160755,Poznań,ul. Mokotowska 93,adam.wieczorek@gmail.com
Janusz Adamczyk,1988-06-21,88062139335,48787635343,Poznań,ul. Targowa 52,janusz.adamczyk@gmail.com
Cezary Piotrowski,1996-05-24,96052407452,48531220027,Warszawa,Al. Jerozolimskie 51,cezary.piotrowski@gmail.com
Krystyna Baran,1941-10-14,41101461064,48815036081,Gdańsk,ul. Nowy Świat 86,krystyna.baran@gmail.com
Kinga Ostrowska,1989-07-02,89070246523,48634418706,Gdańsk,Al. Armii Ludowej 96,kinga.ostrowska@gmail.com
Bogumiła Szymańska,1970-04-25,70042555024,48614594473,Warszawa,Al. Armii Ludowej 15,bogumiła.szymańska@gmail.com
Adrian Baran,1990-11-04,90110498855,48753294091,Poznań,Al. Wilanowska 48,adrian.baran@gmail.com
Halina Nowakowska,2003-08-10,03281028565,48699615229,Łódź,ul. Jana Pawła II 1,halina.nowakowska@gmail.com
Bogumiła Pietrzak,1945-06-07,45060710344,48587991574,Warszawa,ul. Żwirki i Wigury 4,bogumiła.pietrzak@gmail.com
Hanna Adamczyk,1943-02-16,43021657347,48701154173,Gdańsk,Al. Wilanowska 36,hanna.adamczyk@gmail.com
Jan Szewczyk,1988-09-22,88092258651,48502833044,Kraków,Al. Stanów Zjednoczonych 70,jan.szewczyk@gmail.com
Jadwiga Mazur,1968-04-15,68041534704,48702691119,Warszawa,ul. Wspólna 42,jadwiga.mazur@gmail.com
Elżbieta Walczak,1984-06-11,84061126004,48510658654,Łódź,ul. Wspólna 97,elżbieta.walczak@gmail.com
Adrian Malinowski,1962-02-07,62020781714,48771956122,Poznań,Al. Prymasa Tysiąclecia 13,adrian.malinowski@gmail.com
Aleksander Wiśniewski,1945-11-13,45111305659,48550755050,Warszawa,Al. Armii Ludowej 38,aleksander.wiśniewski@gmail.com
Julia Witkowska,1991-01-13,91011322946,48689052883,Warszawa,Al. Jerozolimskie 10,julia.witkowska@gmail.com
Jerzy Stępień,1991-01-27,91012799910,48753837857,Gdańsk,Al. Waszyngtona 92,jerzy.stępień@gmail.com
Dagmara Górska,1947-01-14,47011456608,48694708650,Gdańsk,ul. Żwirki i Wigury 10,dagmara.górska@gmail.com
Karol Walczak,1987-04-27,87042743830,48755872088,Gdańsk,Al. KEN 51,karol.walczak@gmail.com
Marta Majewska,1950-01-08,50010813107,48515144112,Łódź,ul. Grójecka 37,marta.majewska@gmail.com
Grzegorz Wójcik,1945-06-13,45061351478,48561063715,Łódź,ul. Mokotowska 70,grzegorz.wójcik@gmail.com
Łukasz Wójcik,1971-02-01,71020113036,48603343377,Łódź,ul. Złota 38,łukasz.wójcik@gmail.com
Edward Jaworski,1959-01-12,59011296937,48672041659,Kraków,Al. Jerozolimskie 30,edward.jaworski@gmail.com
Adrian Pietrzak,1991-05-13,91051369857,48662652347,Kraków,Al. Wilanowska 30,adrian.pietrzak@gmail.com
Aleksandra Król,1993-01-11,93011163109,48535982243,Kraków,Al. Krakowska 56,aleksandra.król@gmail.com
Anita Nowicka,1948-11-08,48110881762,48661808045,Kraków,ul. Jana Pawła II 77,anita.nowicka@gmail.com
Ewa Olszewska,1977-10-15,77101524061,48807077647,Kraków,Al. Waszyngtona 2,ewa.olszewska@gmail.com
Barbara Krawczyk,1980-03-16,80031660103,48737789308,Warszawa,ul. Krakowskie Przedmieście 47,barbara.krawczyk@gmail.com
Mateusz Szewczyk,1958-05-01,58050141372,48570517441,Gdańsk,ul. Chmielna 30,mateusz.szewczyk@gmail.com
Hubert Adamczyk,1997-10-17,97101728012,48694062061,Warszawa,Al. Jerozolimskie 95,hubert.adamczyk@gmail.com
Filip Szewczyk,1947-09-27,47092715290,48605384819,Poznań,Al. Zieleniecka 90,filip.szewczyk@gmail.com
Beata Walczak,1953-04-15,53041594043,48707771841,Warszawa,ul. Krakowskie Przedmieście 32,beata.walczak@gmail.com
Julia Olszewska,1955-07-24,55072401561,48635104019,Warszawa,ul. Żwirki i Wigury 85,julia.olszewska@gmail.com
Hubert Wojciechowski,1970-06-02,70060237092,48538148483,Łódź,ul. Marszałkowska 48,hubert.wojciechowski@gmail.com
Bogumiła Michalska,2004-10-17,04301763204,48720882499,Gdańsk,Al. Solidarności 13,bogumiła.michalska@gmail.com
Kinga Pietrzak,1999-05-21,99052103144,48534801055,Poznań,Al. Rzeczypospolitej 26,kinga.pietrzak@gmail.com
Aleksandra Rutkowska,1984-06-28,84062838328,48765156665,Kraków,Al. Wilanowska 57,aleksandra.rutkowska@gmail.com
Ireneusz Mazur,1972-11-05,72110526657,48585549668,Warszawa,Al. Stanów Zjednoczonych 75,ireneusz.mazur@gmail.com
Antoni Pawlak,1976-11-13,76111372712,48628219260,Łódź,ul. Mokotowska 57,antoni.pawlak@gmail.com
Ewa Baran,1988-12-21,88122149504,48591292441,Gdańsk,Al. Rzeczypospolitej 38,ewa.baran@gmail.com
Artur Wieczorek,1988-10-19,88101949356,48727656538,Poznań,Al. Jerozolimskie 69,artur.wieczorek@gmail.com
Barbara Adamczyk,1946-01-23,46012386305,48670305202,Poznań,Al. Armii Ludowej 17,barbara.adamczyk@gmail.com
Bartosz Walczak,1957-07-22,57072267275,48786373578,Kraków,Al. Solidarności 65,bartosz.walczak@gmail.com
Jacek Stępień,1964-09-05,64090577271,48615327703,Łódź,Al. Krakowska 25,jacek.stępień@gmail.com
Katarzyna Dąbrowska,1981-04-08,81040894482,48806803967,Gdańsk,ul. Świętokrzyska 37,katarzyna.dąbrowska@gmail.com
Daniel Jankowski,1981-06-22,81062289031,48565027448,Gdańsk,Al. Jerozolimskie 63,daniel.jankowski@gmail.com
Edward Michalski,1947-10-12,47101295294,48791532254,Gdańsk,ul. Żwirki i Wigury 85,edward.michalski@gmail.com
Mariusz Wojciechowski,1977-07-12,77071282879,48656746440,Łódź,ul. Jana Pawła II 96,mariusz.wojciechowski@gmail.com
Emil Dudek,1944-06-30,44063034239,48682585630,Poznań,ul. Mokotowska 10,emil.dudek@gmail.com
Helena Szewczyk,1998-03-24,98032477202,48709530826,Kraków,Al. Wilanowska 56,helena.szewczyk@gmail.com
Dorota Majewska,1974-03-09,74030954525,48594029885,Kraków,Al. Jana III Sobieskiego 58,dorota.majewska@gmail.com
Laura Dąbrowska,1968-02-02,68020291042,48784574012,Kraków,ul. Wspólna 17,laura.dąbrowska@gmail.com
Ewa Król,2002-06-21,02262103264,48695200082,Gdańsk,ul. Puławska 17,ewa.król@gmail.com
Julia Baran,1964-04-27,64042790307,48698492044,Warszawa,ul. Świętokrzyska 78,julia.baran@gmail.com
Emilia Jabłońska,1968-06-20,68062091743,48781417864,Kraków,Al. Wilanowska 42,emilia.jabłońska@gmail.com
Karolina Zając,1964-11-05,64110514442,48615567744,Warszawa,Al. Wilanowska 48,karolina.zając@gmail.com
Antoni Szymański,1968-03-28,68032829330,48795995375,Kraków,Al. Solidarności 64,antoni.szymański@gmail.com
Lucyna Wróbel,1964-05-07,64050760004,48747407827,Kraków,ul. Złota 86,lucyna.wróbel@gmail.com
Filip Zalewski,1954-09-05,54090530570,48599669781,Warszawa,ul. Wspólna 22,filip.zalewski@gmail.com
Kinga Kowalczyk,1991-12-02,91120292020,48570383671,Łódź,ul. Nowy Świat 82,kinga.kowalczyk@gmail.com
Dagmara Jaworska,1952-03-26,52032665302,48627013674,Łódź,Al. KEN 92,dagmara.jaworska@gmail.com
Mariusz Adamczyk,1986-03-25,86032541997,48621458314,Poznań,Al. Krakowska 61,mariusz.adamczyk@gmail.com
Agnieszka Jankowska,1987-05-05,87050580326,48673249329,Łódź,ul. Jana Pawła II 44,agnieszka.jankowska@gmail.com
Natalia Michalska,2004-03-09,04230922145,48688272564,Kraków,ul. Grójecka 99,natalia.michalska@gmail.com
Dagmara Mazur,1952-01-17,52011769647,48746459051,Gdańsk,ul. Grójecka 35,dagmara.mazur@gmail.com
Dorota Malinowska,1983-07-17,83071716687,48648030550,Poznań,ul. Krakowskie Przedmieście 31,dorota.malinowska@gmail.com
Lech Górski,1952-03-15,52031551095,48507066718,Kraków,ul. Grójecka 59,lech.górski@gmail.com
Elżbieta Malinowska,1956-07-01,56070118088,48547733558,Warszawa,Al. Jerozolimskie 28,elżbieta.malinowska@gmail.com
Arkadiusz Kaczmarek,1993-10-20,93102011151,48705974546,Kraków,Al. Rzeczypospolitej 23,arkadiusz.kaczmarek@gmail.com
Lucyna Jankowska,1981-08-12,81081238601,48707786635,Poznań,ul. Wspólna 97,lucyna.jankowska@gmail.com
Czesława Zając,1949-09-14,49091465626,48527998607,Łódź,Al. Krakowska 51,czesława.zając@gmail.com
Kinga Krawczyk,1963-06-17,63061761244,48757921743,Łódź,ul. Złota 15,kinga.krawczyk@gmail.com
Adam Dąbrowski,1965-11-23,65112310975,48706628536,Warszawa,Al. Niepodległości 31,adam.dąbrowski@gmail.com
Monika Szewczyk,1988-11-06,88110649869,48711638893,Poznań,ul. Marszałkowska 95,monika.szewczyk@gmail.com
Bartosz Malinowski,1981-08-10,81081012216,48774310821,Poznań,ul. Mokotowska 94,bartosz.malinowski@gmail.com
Leon Nowakowski,1989-05-11,89051190959,48640667396,Łódź,ul. Marszałkowska 97,leon.nowakowski@gmail.com
Jan Wróbel,1976-06-15,76061568216,48626310877,Poznań,Al. Krakowska 86,jan.wróbel@gmail.com
Aleksandra Nowak,1973-11-03,73110304607,48525304250,Poznań,Al. Jerozolimskie 17,aleksandra.nowak@gmail.com
Danuta Rutkowska,1947-10-15,47101521160,48663695423,Warszawa,Al. Solidarności 60,danuta.rutkowska@gmail.com
Arkadiusz Jaworski,2001-11-11,01311117850,48618397916,Kraków,Al. Solidarności 44,arkadiusz.jaworski@gmail.com
Kazimierz Wójcik,1987-11-03,87110387397,48770347289,Poznań,ul. Mokotowska 94,kazimierz.wójcik@gmail.com
Adrian Nowak,1960-11-13,60111312393,48504307375,Łódź,ul. Złota 89,adrian.nowak@gmail.com
Jarosław Grabowski,1943-08-04,43080411595,48640758551,Kraków,ul. Świętokrzyska 18,jarosław.grabowski@gmail.com
Dominik Szewczyk,1971-07-30,71073073077,48609590959,Łódź,Al. Jana III Sobieskiego 92,dominik.szewczyk@gmail.com
Filip Michalak,1989-01-04,89010490193,48779694014,Poznań,Al. Waszyngtona 3,filip.michalak@gmail.com
Czesława Tomaszewska,2003-07-21,03272168487,48609229165,Gdańsk,ul. Nowy Świat 36,czesława.tomaszewska@gmail.com
Celina Pietrzak,1979-09-17,79091769949,48793487875,Gdańsk,Al. Wilanowska 39,celina.pietrzak@gmail.com
Kajetan Kaczmarek,1980-07-06,80070627271,48666784311,Warszawa,ul. Świętokrzyska 8,kajetan.kaczmarek@gmail.com
Lech Malinowski,1945-06-06,45060678091,48758373350,Poznań,ul. Puławska 57,lech.malinowski@gmail.com
Bartłomiej Wójcik,1959-05-15,59051578235,48802562584,Kraków,ul. Żwirki i Wigury 60,bartłomiej.wójcik@gmail.com
Beata Lewandowska,2003-09-07,03290729321,48795295247,Poznań,Al. Jerozolimskie 63,beata.lewandowska@gmail.com
Marek Szewczyk,1967-11-10,67111043612,48650045395,Łódź,ul. Chmielna 96,marek.szewczyk@gmail.com
Anita Wróblewska,1996-04-28,96042824186,48679459875,Łódź,Al. Wilanowska 72,anita.wróblewska@gmail.com
Agnieszka Wojciechowska,1943-09-15,43091505883,48756778677,Warszawa,ul. Jana Pawła II 99,agnieszka.wojciechowska@gmail.com
Krystyna Ostrowska,1947-09-03,47090384744,48814826116,Gdańsk,ul. Krakowskie Przedmieście 43,krystyna.ostrowska@gmail.com
Franciszek Baran,1964-09-16,64091623995,48774471876,Łódź,ul. Piotrkowska 32,franciszek.baran@gmail.com
Leon Sikora,1996-11-07,96110705971,48738274820,Warszawa,Al. Wojska Polskiego 1,leon.sikora@gmail.com
Błażej Zieliński,1984-02-09,84020980573,48728471832,Kraków,Al. Prymasa Tysiąclecia 79,błażej.zieliński@gmail.com
Bogumiła Olszewska,1965-09-05,65090509965,48521343472,Poznań,ul. Piotrkowska 45,bogumiła.olszewska@gmail.com
Dominik Wojciechowski,1945-12-11,45121167816,48594447822,Poznań,Al. Waszyngtona 30,dominik.wojciechowski@gmail.com
Kajetan Wieczorek,1991-07-08,91070854093,48668788850,Warszawa,ul. Chmielna 71,kajetan.wieczorek@gmail.com
Danuta Kwiatkowska,2006-07-22,06272259346,48775349101,Łódź,Al. Jerozolimskie 89,danuta.kwiatkowska@gmail.com
Magdalena Kowalska,1961-05-23,61052304146,48673802736,Kraków,Al. Prymasa Tysiąclecia 15,magdalena.kowalska@gmail.com
Jan Malinowski,1960-03-25,60032548093,48504079290,Warszawa,Al. Jerozolimskie 73,jan.malinowski@gmail.com
Edyta Wojciechowska,2002-05-03,02250379228,48726080099,Gdańsk,Al. Wojska Polskiego 9,edyta.wojciechowska@gmail.com
Dagmara Wojciechowska,1995-06-06,95060657501,48647872985,Poznań,ul. Mokotowska 94,dagmara.wojciechowska@gmail.com
Artur Malinowski,1977-09-14,77091400534,48615978898,Gdańsk,ul. Jana Pawła II 43,artur.malinowski@gmail.com
Ignacy Tomaszewski,1989-05-27,89052727093,48554172960,Poznań,Al. Krakowska 8,ignacy.tomaszewski@gmail.com
Emil Pawlak,1995-07-25,95072512957,48644885463,Poznań,Al. Jerozolimskie 46,emil.pawlak@gmail.com
Lidia Wójcik,1974-04-18,74041871361,48538374309,Poznań,Al. Niepodległości 10,lidia.wójcik@gmail.com
Joanna Kwiatkowska,1959-01-19,59011907060,48679271366,Poznań,ul. Nowy Świat 85,joanna.kwiatkowska@gmail.com
Nina Dąbrowska,1996-05-09,96050903226,48518162854,Warszawa,ul. Złota 83,nina.dąbrowska@gmail.com
Damian Grabowski,1972-10-12,72101266793,48503430624,Kraków,Al. Jana III Sobieskiego 84,damian.grabowski@gmail.com
Karolina Rutkowska,2003-03-25,03232584209,48751569907,Gdańsk,ul. Długa 55,karolina.rutkowska@gmail.com
Hubert Dąbrowski,2005-12-31,05323117451,48526604483,Poznań,ul. Długa 18,hubert.dąbrowski@gmail.com
Maria Lewandowska,1949-12-17,49121731668,48717723868,Poznań,Al. Wilanowska 94,maria.lewandowska@gmail.com
Karol Piotrowski,2002-02-06,02220630638,48652627916,Poznań,ul. Żwirki i Wigury 16,karol.piotrowski@gmail.com
Maciej Sikora,2003-09-03,03290311056,48507631043,Łódź,ul. Grójecka 12,maciej.sikora@gmail.com
Antoni Nowak,1963-08-14,63081402491,48725900982,Łódź,Al. Solidarności 78,antoni.nowak@gmail.com
Jakub Jabłoński,1963-08-23,63082345719,48805648341,Warszawa,Al. Prymasa Tysiąclecia 60,jakub.jabłoński@gmail.com
Natalia Michalska,1940-04-27,40042718145,48533035410,Kraków,Al. Solidarności 64,natalia.michalska@gmail.com
Cezary Kaczmarek,2006-06-30,06263001712,48528222450,Poznań,ul. Mokotowska 57,cezary.kaczmarek@gmail.com
Elżbieta Malinowska,1978-07-27,78072786423,48793927274,Poznań,ul. Marszałkowska 82,elżbieta.malinowska@gmail.com
Irena Wójcik,1977-04-17,77041749821,48805935797,Łódź,Al. Krakowska 43,irena.wójcik@gmail.com
Danuta Olszewska,1942-12-19,42121957504,48753611276,Łódź,Al. Niepodległości 98,danuta.olszewska@gmail.com
Izabela Król,1940-06-19,40061922828,48783463542,Kraków,Al. Prymasa Tysiąclecia 43,izabela.król@gmail.com
